"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"Adelie","Torgersen",39.1,18.7,181,"0","male"
"Adelie","Torgersen",39.5,17.4,186,"0","female"
"Adelie","Torgersen",40.3,18,195,"0","female"
"Adelie","Torgersen",36.7,19.3,193,"0","female"
"Adelie","Torgersen",39.3,20.6,190,"0","male"
"Adelie","Torgersen",38.9,17.8,181,"0","female"
"Adelie","Torgersen",39.2,19.6,195,"1","male"
"Adelie","Torgersen",41.1,17.6,182,"0","female"
"Adelie","Torgersen",38.6,21.2,191,"0","male"
"Adelie","Torgersen",34.6,21.1,198,"1","male"
"Adelie","Torgersen",36.6,17.8,185,"0","female"
"Adelie","Torgersen",38.7,19,195,"0","female"
"Adelie","Torgersen",42.5,20.7,197,"1","male"
"Adelie","Torgersen",34.4,18.4,184,"0","female"
"Adelie","Torgersen",46,21.5,194,"1","male"
"Adelie","Biscoe",37.8,18.3,174,"0","female"
"Adelie","Biscoe",37.7,18.7,180,"0","male"
"Adelie","Biscoe",35.9,19.2,189,"0","female"
"Adelie","Biscoe",38.2,18.1,185,"0","male"
"Adelie","Biscoe",38.8,17.2,180,"0","male"
"Adelie","Biscoe",35.3,18.9,187,"0","female"
"Adelie","Biscoe",40.6,18.6,183,"0","male"
"Adelie","Biscoe",40.5,17.9,187,"0","female"
"Adelie","Biscoe",37.9,18.6,172,"0","female"
"Adelie","Biscoe",40.5,18.9,180,"0","male"
"Adelie","Dream",39.5,16.7,178,"0","female"
"Adelie","Dream",37.2,18.1,178,"0","male"
"Adelie","Dream",39.5,17.8,188,"0","female"
"Adelie","Dream",40.9,18.9,184,"0","male"
"Adelie","Dream",36.4,17,195,"0","female"
"Adelie","Dream",39.2,21.1,196,"1","male"
"Adelie","Dream",38.8,20,190,"0","male"
"Adelie","Dream",42.2,18.5,180,"0","female"
"Adelie","Dream",37.6,19.3,181,"0","female"
"Adelie","Dream",39.8,19.1,184,"1","male"
"Adelie","Dream",36.5,18,182,"0","female"
"Adelie","Dream",40.8,18.4,195,"0","male"
"Adelie","Dream",36,18.5,186,"0","female"
"Adelie","Dream",44.1,19.7,196,"1","male"
"Adelie","Dream",37,16.9,185,"0","female"
"Adelie","Dream",39.6,18.8,190,"1","male"
"Adelie","Dream",41.1,19,182,"0","male"
"Adelie","Dream",36,17.9,190,"0","female"
"Adelie","Dream",42.3,21.2,191,"1","male"
"Adelie","Biscoe",39.6,17.7,186,"0","female"
"Adelie","Biscoe",40.1,18.9,188,"1","male"
"Adelie","Biscoe",35,17.9,190,"0","female"
"Adelie","Biscoe",42,19.5,200,"0","male"
"Adelie","Biscoe",34.5,18.1,187,"0","female"
"Adelie","Biscoe",41.4,18.6,191,"0","male"
"Adelie","Biscoe",39,17.5,186,"0","female"
"Adelie","Biscoe",40.6,18.8,193,"0","male"
"Adelie","Biscoe",36.5,16.6,181,"0","female"
"Adelie","Biscoe",37.6,19.1,194,"0","male"
"Adelie","Biscoe",35.7,16.9,185,"0","female"
"Adelie","Biscoe",41.3,21.1,195,"1","male"
"Adelie","Biscoe",37.6,17,185,"0","female"
"Adelie","Biscoe",41.1,18.2,192,"0","male"
"Adelie","Biscoe",36.4,17.1,184,"0","female"
"Adelie","Biscoe",41.6,18,192,"0","male"
"Adelie","Biscoe",35.5,16.2,195,"0","female"
"Adelie","Biscoe",41.1,19.1,188,"1","male"
"Adelie","Torgersen",35.9,16.6,190,"0","female"
"Adelie","Torgersen",41.8,19.4,198,"1","male"
"Adelie","Torgersen",33.5,19,190,"0","female"
"Adelie","Torgersen",39.7,18.4,190,"0","male"
"Adelie","Torgersen",39.6,17.2,196,"0","female"
"Adelie","Torgersen",45.8,18.9,197,"1","male"
"Adelie","Torgersen",35.5,17.5,190,"0","female"
"Adelie","Torgersen",42.8,18.5,195,"1","male"
"Adelie","Torgersen",40.9,16.8,191,"0","female"
"Adelie","Torgersen",37.2,19.4,184,"0","male"
"Adelie","Torgersen",36.2,16.1,187,"0","female"
"Adelie","Torgersen",42.1,19.1,195,"0","male"
"Adelie","Torgersen",34.6,17.2,189,"0","female"
"Adelie","Torgersen",42.9,17.6,196,"1","male"
"Adelie","Torgersen",36.7,18.8,187,"0","female"
"Adelie","Torgersen",35.1,19.4,193,"1","male"
"Adelie","Dream",37.3,17.8,191,"0","female"
"Adelie","Dream",41.3,20.3,194,"0","male"
"Adelie","Dream",36.3,19.5,190,"0","male"
"Adelie","Dream",36.9,18.6,189,"0","female"
"Adelie","Dream",38.3,19.2,189,"0","male"
"Adelie","Dream",38.9,18.8,190,"0","female"
"Adelie","Dream",35.7,18,202,"0","female"
"Adelie","Dream",41.1,18.1,205,"1","male"
"Adelie","Dream",34,17.1,185,"0","female"
"Adelie","Dream",39.6,18.1,186,"1","male"
"Adelie","Dream",36.2,17.3,187,"0","female"
"Adelie","Dream",40.8,18.9,208,"1","male"
"Adelie","Dream",38.1,18.6,190,"0","female"
"Adelie","Dream",40.3,18.5,196,"1","male"
"Adelie","Dream",33.1,16.1,178,"0","female"
"Adelie","Dream",43.2,18.5,192,"1","male"
"Adelie","Biscoe",35,17.9,192,"0","female"
"Adelie","Biscoe",41,20,203,"1","male"
"Adelie","Biscoe",37.7,16,183,"0","female"
"Adelie","Biscoe",37.8,20,190,"1","male"
"Adelie","Biscoe",37.9,18.6,193,"0","female"
"Adelie","Biscoe",39.7,18.9,184,"0","male"
"Adelie","Biscoe",38.6,17.2,199,"0","female"
"Adelie","Biscoe",38.2,20,190,"0","male"
"Adelie","Biscoe",38.1,17,181,"0","female"
"Adelie","Biscoe",43.2,19,197,"1","male"
"Adelie","Biscoe",38.1,16.5,198,"0","female"
"Adelie","Biscoe",45.6,20.3,191,"1","male"
"Adelie","Biscoe",39.7,17.7,193,"0","female"
"Adelie","Biscoe",42.2,19.5,197,"1","male"
"Adelie","Biscoe",39.6,20.7,191,"0","female"
"Adelie","Biscoe",42.7,18.3,196,"1","male"
"Adelie","Torgersen",38.6,17,188,"0","female"
"Adelie","Torgersen",37.3,20.5,199,"0","male"
"Adelie","Torgersen",35.7,17,189,"0","female"
"Adelie","Torgersen",41.1,18.6,189,"0","male"
"Adelie","Torgersen",36.2,17.2,187,"0","female"
"Adelie","Torgersen",37.7,19.8,198,"0","male"
"Adelie","Torgersen",40.2,17,176,"0","female"
"Adelie","Torgersen",41.4,18.5,202,"0","male"
"Adelie","Torgersen",35.2,15.9,186,"0","female"
"Adelie","Torgersen",40.6,19,199,"0","male"
"Adelie","Torgersen",38.8,17.6,191,"0","female"
"Adelie","Torgersen",41.5,18.3,195,"1","male"
"Adelie","Torgersen",39,17.1,191,"0","female"
"Adelie","Torgersen",44.1,18,210,"0","male"
"Adelie","Torgersen",38.5,17.9,190,"0","female"
"Adelie","Torgersen",43.1,19.2,197,"0","male"
"Adelie","Dream",36.8,18.5,193,"0","female"
"Adelie","Dream",37.5,18.5,199,"1","male"
"Adelie","Dream",38.1,17.6,187,"0","female"
"Adelie","Dream",41.1,17.5,190,"0","male"
"Adelie","Dream",35.6,17.5,191,"0","female"
"Adelie","Dream",40.2,20.1,200,"0","male"
"Adelie","Dream",37,16.5,185,"0","female"
"Adelie","Dream",39.7,17.9,193,"1","male"
"Adelie","Dream",40.2,17.1,193,"0","female"
"Adelie","Dream",40.6,17.2,187,"0","male"
"Adelie","Dream",32.1,15.5,188,"0","female"
"Adelie","Dream",40.7,17,190,"0","male"
"Adelie","Dream",37.3,16.8,192,"0","female"
"Adelie","Dream",39,18.7,185,"0","male"
"Adelie","Dream",39.2,18.6,190,"1","male"
"Adelie","Dream",36.6,18.4,184,"0","female"
"Adelie","Dream",36,17.8,195,"0","female"
"Adelie","Dream",37.8,18.1,193,"0","male"
"Adelie","Dream",36,17.1,187,"0","female"
"Adelie","Dream",41.5,18.5,201,"0","male"
"Gentoo","Biscoe",46.1,13.2,211,"1","female"
"Gentoo","Biscoe",50,16.3,230,"1","male"
"Gentoo","Biscoe",48.7,14.1,210,"1","female"
"Gentoo","Biscoe",50,15.2,218,"1","male"
"Gentoo","Biscoe",47.6,14.5,215,"1","male"
"Gentoo","Biscoe",46.5,13.5,210,"1","female"
"Gentoo","Biscoe",45.4,14.6,211,"1","female"
"Gentoo","Biscoe",46.7,15.3,219,"1","male"
"Gentoo","Biscoe",43.3,13.4,209,"1","female"
"Gentoo","Biscoe",46.8,15.4,215,"1","male"
"Gentoo","Biscoe",40.9,13.7,214,"1","female"
"Gentoo","Biscoe",49,16.1,216,"1","male"
"Gentoo","Biscoe",45.5,13.7,214,"1","female"
"Gentoo","Biscoe",48.4,14.6,213,"1","male"
"Gentoo","Biscoe",45.8,14.6,210,"1","female"
"Gentoo","Biscoe",49.3,15.7,217,"1","male"
"Gentoo","Biscoe",42,13.5,210,"1","female"
"Gentoo","Biscoe",49.2,15.2,221,"1","male"
"Gentoo","Biscoe",46.2,14.5,209,"1","female"
"Gentoo","Biscoe",48.7,15.1,222,"1","male"
"Gentoo","Biscoe",50.2,14.3,218,"1","male"
"Gentoo","Biscoe",45.1,14.5,215,"1","female"
"Gentoo","Biscoe",46.5,14.5,213,"1","female"
"Gentoo","Biscoe",46.3,15.8,215,"1","male"
